iter	Passed	Remaining
872	4886	710
873	4893	705
874	4898	699
875	4905	694
876	4909	688
877	4913	682
878	4919	677
879	4925	671
880	4931	666
881	4938	660
882	4943	655
883	4950	649
884	4953	643
885	4960	638
886	4966	632
887	4971	627
888	4976	621
889	4982	615
890	4991	610
891	4998	605
892	5005	599
893	5010	594
894	5013	588
895	5017	582
896	5023	576
897	5027	571
898	5032	565
899	5038	559
900	5042	554
901	5046	548
902	5050	542
903	5055	536
904	5059	531
905	5062	525
906	5069	519
907	5073	514
908	5078	508
909	5084	502
910	5090	497
911	5095	491
912	5102	486
913	5108	480
914	5111	474
915	5118	469
916	5123	463
917	5127	458
918	5134	452
919	5139	446
920	5145	441
921	5150	435
922	5155	430
923	5158	424
924	5164	418
925	5171	413
926	5179	407
927	5184	402
928	5191	396
929	5197	391
930	5204	385
931	5211	380
932	5217	374
933	5222	369
934	5227	363
935	5233	357
936	5240	352
937	5247	346
938	5255	341
939	5262	335
940	5270	330
941	5275	324
942	5279	319
943	5285	313
944	5289	307
945	5293	302
946	5297	296
947	5302	290
948	5306	285
949	5309	279
950	5313	273
951	5319	268
952	5323	262
953	5327	256
954	5331	251
955	5336	245
956	5340	239
957	5344	234
958	5350	228
959	5354	223
960	5358	217
961	5363	211
962	5367	206
963	5371	200
964	5376	194
965	5381	189
966	5386	183
967	5391	178
968	5397	172
969	5403	167
970	5408	161
971	5414	155
972	5421	150
973	5427	144
974	5433	139
975	5437	133
976	5444	128
977	5450	122
978	5455	117
979	5461	111
980	5467	105
981	5474	100
982	5480	94
983	5486	89
984	5494	83
985	5500	78
986	5507	72
987	5513	66
988	5518	61
989	5525	55
990	5531	50
991	5539	44
992	5547	39
993	5555	33
994	5560	27
995	5565	22
996	5572	16
997	5577	11
998	5585	5
999	5593	0
